name,street,namestreet2,address,zip,physicalname,physicalstreet,website
Dakota Unit,P.O. Box 8940,,"San Luis, AZ 85349",85349,,,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
La Paz Unit,P.O. Box 8819,,"San Luis, AZ 85349",85349,,,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
ASP-Florence West,P.O. Box 9200,,"Florence, AZ 85132-9200",85132,,,https://www.prisonpro.com/content/arizona-state-prison-florence-west
Arizona State Prison - Phoenix West,P.O. Box 18640,,"Phoenix, AZ 85005-8640",85005,,,https://www.prisonpro.com/content/arizona-state-prison-phoenix-west
Red Rock Correctional Center,1750 East Arica Road,,"Eloy, AZ 85131",85131,,,https://www.prisonpro.com/content/red-rock-correctional-facility
Benton Unit,6701 Highway 67,,"Benton, AR 72015-8488",72015,,,https://www.prisonpro.com/content/benton-unit
Boot Camp Program,P.O. Box 240,,"Tucker, AR 72168-0240",72168,,,https://www.prisonpro.com/content/boot-camp-arkansas
Cummins Unit,P.O. Box 500,,"Grady, AR 71644-0500",71644,,,https://www.prisonpro.com/content/cummins-unit
Delta Regional Unit,880 East Gaines,,"Dermott, AR 71638-9505",71638,,,https://www.prisonpro.com/content/delta-regional-unit
East Arkansas Regional Unit,P.O. Box 180,,"Brickeys, AR 72320-0180",72320,,,https://www.prisonpro.com/content/east-arkansas-regional-unit-brickeys
Grimes Unit,300 Corrections Drive,,"Newport, AR 72112",72112,,,https://www.prisonpro.com/content/grimes-unit
"J. Aaron Hawkins, Sr., Center for Women",P.O. Box 1000,,"Wrightsville, AR 72183-1000",72183,,,https://www.prisonpro.com/content/j-aaron-hawkins-sr-center
Maximum Security Unit,2501 State Farm Rd.,,"Tucker, AR 72168-8713",72168,,,https://www.prisonpro.com/content/maximum-security-unit
McPherson Unit,302 Corrections Drive,,"Newport, AR 72112",72112,,,https://www.prisonpro.com/content/mcpherson-unit
Mississippi County Work Release Center,P.O. Box 10,,"Luxora, AR 72358-0010",72358,,,https://www.prisonpro.com/content/mississippi-county-work-release-center
North Central Unit,10 Prison Circle,,"Calico Rock, AR 72519",72519,,,https://www.prisonpro.com/content/north-central-unit
Northwest Arkansas Work Release Center,200 East Price Avenue,,"Springdale, AR 72764",72764,,,https://www.prisonpro.com/content/northwest-arkansas-work-release-unit
Ouachita River Correctional Unit,P.O. Box 1630,,"Malvern, AR 72104",72104,,,https://www.prisonpro.com/content/ouachita-river-unit
Pine Bluff Unit,890 Free Line Dr.,,"Pine Bluff, AR 71603-1498",71603,,,https://www.prisonpro.com/content/pine-bluff-unit
Randall L. Williams Correctional Facility,7206 West 7th Street,,"Pine Bluff, AR 71603",71603,,,https://www.prisonpro.com/content/randall-l-williams-correctional-facility
Texarkana Regional Correction Center,305 East 5th Street,,"Texarkana, AR 71854",71854,,,https://www.prisonpro.com/content/texarkana-regional-correctional-center
Tucker Unit,P.O. Box 240,,"Tucker, AR 72168-0240",72168,,,https://www.prisonpro.com/content/tucker-unit
Varner Unit,P.O. Box 600,,"Grady, AR 71644-0600",71644,,,https://www.prisonpro.com/content/varner-unit
Wrightsville Unit,P.O. Box 1000,,"Wrightsville, AR 72183-1000",72183,,,https://www.prisonpro.com/content/wrightsville-unit
Facility E - P.O. Box905,Facility F - P.O. Box906,,"Avenal, CA 93204",93204,,,https://www.prisonpro.com/content/avenal-state-prison
"A Facility, MSF Facility",P.O. Box 2500,,"Susanville, CA 96127-2500",96127,,,https://www.prisonpro.com/content/california-correctional-center
C Facility,P.O. Box 2210,,"Susanville, CA 96127-2210",96127,,,https://www.prisonpro.com/content/california-correctional-center
"B Facility, Infirmary",P.O. Box 2400,,"Susanville, CA 96127-2400",96127,,,https://www.prisonpro.com/content/california-correctional-center
Housing Unit 1,PO Box 107,,"Tehachapi, CA 93581-0107",93581,,,https://www.prisonpro.com/content/california-correctional-institution
Housing Unit 2,PO Box 608,,"Tehachapi, CA 93581-0608",93581,,,https://www.prisonpro.com/content/california-correctional-institution
Reception Center,PO Box 1905,,"Tehachapi, CA 93581-5905",93581,,,https://www.prisonpro.com/content/california-correctional-institution
Housing Unit 4A,PO Box 1902,,"Tehachapi, CA 93581-5902",93581,,,https://www.prisonpro.com/content/california-correctional-institution
Housing Unit 4B,PO Box 1906,,"Tehachapi, CA 93581-5906",93581,,,https://www.prisonpro.com/content/california-correctional-institution
CIM I,P.O. Box 600,,"Chino, CA 91708",91708,,,https://www.prisonpro.com/content/california-institution-men
CIM II,P.O. Box 368,,"Chino, CA 91708",91708,,,https://www.prisonpro.com/content/california-institution-men
Reception Center Central,P.O. Box 441,,"Chino, CA 91708",91708,,,https://www.prisonpro.com/content/california-institution-men
Reception Center East,P.O. Box 500,,"Chino, CA 91708",91708,,,https://www.prisonpro.com/content/california-institution-men
California Institution for Women,PO Box 8100,,"Corona, CA 92878-8100",92878,,,https://www.prisonpro.com/content/california-institution-women
 ,PO Box 8102,,"Corona, CA 92878-8100",92878,,,https://www.prisonpro.com/content/california-institution-women
California Medical Facility,P.O. Box 2000,,"Vacaville, CA 95696-2000",95696,,,https://www.prisonpro.com/content/california-medical-facility
California Men's Colony EAST,P.O. Box 8101,,"San Luis Obispo, CA 93409-8103",93409,,,https://www.prisonpro.com/content/california-mens-colony
California Men's Colony WEST,P.O. Box 8103,,"San Luis Obispo, CA 93409-8103",93409,,,https://www.prisonpro.com/content/california-mens-colony
California Rehabilitation Center,P.O. Box 3535,,"Norco, CA 92860",92860,,,https://www.prisonpro.com/content/california-rehabilitation-center
Inmate Funds should be mailed to:,P.O. Box 2000,,"Norco, CA 92860",92860,,,https://www.prisonpro.com/content/california-rehabilitation-center
Inmate's Name & CDC#,P.O. Box 4430,,"Lancaster, CA 93539-4430",93539,,,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
Inmate's Name & CDC#,P.O. Box 4490,,"Lancaster, CA 93539-4490",93539,,,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
Inmate's Name & CDC#,P.O. Box 4610,,"Lancaster, CA 93539-4610",93539,,,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
Inmate's Name & CDC#,P.O. Box 4670,,"Lancaster, CA 93539-4670",93539,,,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
Inmate's Name & CDC#,P.O. Box 4730,,"Lancaster, CA 93539-4730",93539,,,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
CSP - Los Angeles County,PO BOX 8487,,"Lancaster, CA 93539-8487",93539,,,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
